Name,Token,Type,Status,ICO start,ICO end,Raised,Price,Bonus,Bounty,MVP/Prototype,Platform,Accepting,Minimum investment,Soft cap ,Hard cap ,Country,Whitelist/KYC,Restricted areas,Rate (Overall),Benchy Rating,Benchy Weight,Expert Team,Expert Vision,Expert Product,Weight of Experts,Number of Experts,Expert 1 Team,Expert 1 Vision,Expert 1 Product,Expert 1 Weight,Expert 2 Team,Expert 2 Vision,Expert 2 Product,Expert 2 Weight,Expert 3 Team,Expert 3 Vision,Expert 3 Product,Expert 3 Weight,Expert 4 Team,Expert 4 Vision,Expert 4 Product,Expert 4 Weight,Expert 5 Team,Expert 5 Vision,Expert 5 Product,Expert 5 Weight,Expert 6 Team,Expert 6 Vision,Expert 6 Product,Expert 6 Weight,Expert 7 Team,Expert 7 Vision,Expert 7 Product,Expert 7 Weight,Expert 8 Team,Expert 8 Vision,Expert 9 Product,Expert 9 Weight,Expert 10 Team,Expert 10 Vision,Expert 10 Product,Expert 10 Weight,Expert 11 Team,Expert 11 Vision,Expert 11 Product,Expert 11 Weight,Expert 12 Team,Expert 12 Vision,Expert 12 Product,Expert 12 Weight,Expert 13 Team,Expert 13 Vision,Expert 13 Product,Expert 13 Weight,Expert 14 Team,Expert 14 Vision,Expert 14 Product,Expert 14 Weight,Expert 15 Team,Expert 15 Vision,Expert 15 Product,Expert 15 Weight,Expert 16 Team,Expert 16 Vision,Expert 16 Product,Expert 16 Weight,Expert 17 Team,Expert 17 Vision,Expert 17 Product,Expert 17 Weight,Expert 18 Team,Expert 18 Vision,Expert 19 Product,Expert 19 Weight,Expert 20 Team,Expert 20 Vision,Expert 20 Product,Expert 20 Weight
MediaRich,DYNCOIN,Utility,36 days 21 hours left,1/15/2019,3/30/2019,N/A,,,,,Ethereum,ETH,,"10,000,000 EUR","50,000,000 EUR",Cayman Islands,,"USA, China",2.7,2.7,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medibit,MDB,SecuritySTO,3 days 16 hours left,1/14/2019,2/25/2019,N/A,1 MDB = 0.25 USD,,,,Ethereum,"ETH, Fiat",500 MBTC,"1,500,000 GBP","2,500,000 GBP",UK,,None,2.6,2.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MediBloc,MED,Utility,Trading,11/27/2017,12/15/2017,"$30,000,000",,,,,,,,,,Gibraltar,,,3.2,3.7,51%,2.6,3.1,2.6,49%,4,2,3,3,,3,3,,4,3,3,,3,,,3,0.06,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MediBond,MediBond,Utility,Unknown,,,N/A,,,,,Ethereum,"BTC, ETH, LTC",0.01 BTC0.1 ETH0.5 LTC,,,UK,,,2.4,2.3,82%,3,3,3,18%,1,3,,3,,,3,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medica,MEDTK,Utility,Ended,1/7/2019,2/4/2019,N/A,,,,,,,,,,Belize,,,2.4,2.4,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Cannabis,MCC,Utility,Ended,8/31/2018,1/21/2019,N/A,,,,,,,,,,UK,,"USA, Iran, North Korea, Syria, Sudan, Cuba",2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicalchain,MedToken,Utility,Ended,2/1/2018,2/1/2018,"$24,000,000",,,,,,,,,,UK,,USA,4.3,3.8,8%,4.4,4.5,4,92%,55,5,5,5,,5,5,4,4,5,4,5,5,3,5,4,4,4,4,5,4,4,4,,5,,4,4,5,,5,,5,4,5,,4,,5,3,0.03,,5,,0.02,5,,,4,,,4,0.03,,3,,0.03,4,,,0.03,,,,0.01,,,,0.03,,,,0.03
MediChain,MCU,Utility,Ended,3/1/2018,4/30/2018,"$19,703,656",,,,,,,,,,UK,,,3.9,4,24%,4,3.9,3.7,76%,14,2,5,5,,2,3,5,4,5,5,5,5,3,5,4,4,,5,,5,4,4,,4,,4,4,4,,4,,0.09,4,,,4,,,3,0.06,,4,,0.03,3,,,0.05,,,,0.02,,,,0.02,,,,0.02,,,,,,,,,,,,
MEDICOHEALTH,MHP,Utility,Starts in 53 days 8 hours,4/15/2019,5/14/2019,N/A,1 MHP = 0.08 USD,Available,Available,,Ethereum,ETH,0.1 ETH,"3,500,000 USD","23,500,000 USD",Switzerland,,"South Korea, USA, China",4.2,5,21%,4.5,3.7,3.7,79%,11,4,5,4,,5,5,5,4,3,5,5,4,,4,5,3,,4,,4,4,3,,3,,,2,0.09,,4,,0.06,3,,,4,,,,0.05,,,,0.03,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,
MEDICOIN,MCBC,Utility,Ended,11/16/2017,12/31/2017,N/A,,,,,,,,,,Hong Kong,,,1.3,1.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MediConnect,MEDI,Utility,Ended,2/6/2019,2/16/2019,N/A,1 MEDI = 0.1 USD,,,,STRATIS,,,,,UK,,,2.9,2.9,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicorum,MCC,Utility,Unknown,,,N/A,1 MCC = 0.15 USD,Available,,,Ethereum,,,,,,,,2,2,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediex,MDX,Utility,Ended,1/16/2018,8/26/2018,"$6,310,741",,,,,,,,,,UK,,,2.2,2.2,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MediLOT,LOT,Utility,Unknown,,,N/A,1 LOT = 0.045 USD,,,,Ethereum,ETH,,,"30,000,000 USD",Singapore,,,3.1,2.3,69%,5,5,5,31%,1,5,,5,,,5,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medipedia,MEP,Utility,Ended,10/8/2018,12/9/2018,N/A,,,,,,,,,,Singapore,,USA,3.7,3.4,71%,4,5,4,29%,1,4,,5,,,4,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIS,MDC,Utility,Trading,12/1/2017,6/1/2018,N/A,,,,,,,,,,USA,,,2,2.1,83%,2,2,1,17%,1,2,,2,,,1,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDoctor,MTEL,Utility,Ended,10/10/2018,10/31/2018,N/A,1 MTEL = 1 USD,Available,Available,,Ethereum,"BTC, BCH, ETH, LTC, DASH",1 USD,"3,000,000 USD","50,000,000 USD",Switzerland,,USA,3.6,3.7,74%,3,4,3,26%,1,3,,4,,,3,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meerkat,MCT,Utility,Ended,9/3/2018,10/7/2018,N/A,,,,,,,,,,,,,3,3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meet Luna,LSTRS,Utility,Ended,2/1/2018,2/8/2018,"$12,000,000",,,,,,,,,,South Korea,,"USA, UK, Ireland, Canada, China, Singapore",2.6,2.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeeTip,MTIP,Utility,Ended,11/17/2017,12/15/2017,"$3,226,597",,,,,,,,,,France,,,2.7,2.7,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeetnGreetMe,WEL,Utility,Ended,3/27/2018,5/21/2018,"$250,000",,,,,,,,,,Estonia,,,4,3.7,12%,4.4,4,3.7,88%,29,4,5,5,,5,4,4,4,5,5,4,4,4,4,4,5,5,4,4,4,4,5,,5,,4,5,4,,3,,4,4,4,,5,,4,3,0.05,,4,,0.04,4,,,3,,,3,0.04,,4,,0.02,4,,,0.02,,,,0.04,,,,0.04,,,,0.04
MeFy,MEFY,Utility,Unknown,,,N/A,1 MEFY = 0.30 USD,,Available,,Ethereum,"BTC, ETH, XMV",0.5 ETH,,,,,,2.9,2.9,,,,,100%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega X,MGX,Utility,Trading,10/17/2017,11/17/2017,"$2,474,160",,,,,,,,,,Singapore,,,4.2,4.8,75%,3.6,2.4,1.6,25%,2,4,3,2,,,3,,0.16,1,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melior AI,MEL,Utility,Ended,11/12/2018,12/15/2018,N/A,,,,,,,,,,Ireland,,"China, Cuba, Singapore, North Korea, USA",3.7,3.7,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melonport,MLN,Utility,Trading,2/15/2017,2/16/2017,"$2,900,000",,,,,,,,,,Switzerland,,,2.7,2.7,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Membrana,MBN,Utility,41 days 19 hours left,12/10/2018,4/4/2019,N/A,1 MBN = 0.02 USD,Available,,,Ethereum,"ETH, BTC, LTC, ETC, Fiat",0.1 ETH,"1,000,000 USD","8,000,000 USD",Cayman Islands,,USA,4.6,4.5,33%,4.8,4.5,4.8,67%,5,5,4,5,,5,5,,5,4,5,,5,,,5,0.15,,5,,0.14,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memority,EMT Token,Utility,Ended,5/31/2018,11/30/2018,"$4,816,000",,,,,,,,,,Estonia,,"USA, China, Japan, South Korea, Cuba, Iran, North Korea, Syria, Crimea.",3.6,3.8,77%,2,4,3,23%,1,2,,4,,,3,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menapay,MPAY,Utility,21 days 15 hours left,1/15/2019,3/15/2019,N/A,1 MPAY = 0.165 USD,,Available,,Ethereum,"ETH, BTC, LTC, BCH, Fiat",,"5,000,000 USD","25,000,000 USD",United Arab Emirates,,USA,4.3,4.1,53%,5,4.6,3.8,47%,3,5,5,5,,,5,,3,3,,,3,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menlo One,ONE,Utility,Ended,9/17/2018,10/15/2018,"$2,661,500",,,,,,,,,,Cayman Islands,,China,4.3,3.9,44%,4.5,4.8,4.5,56%,4,5,4,4,,5,5,,4,4,5,,4,,,5,0.1,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MenuBuzz,MENU,Utility,Starts in 440 days 19 hours,5/7/2020,6/18/2020,N/A,1 MENU = 0.05 USD,,,,Ethereum,"BTC, ETH",0.05 ETH,"20,000,000","536,000,000",Ireland,,,2.4,3.2,36%,1.8,2.1,2.1,64%,5,3,1,1,,2,2,,1,2,2,,2,,,2,0.12,,2,,0.12,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merculet,,Utility,Unknown,,,N/A,,,,,Ethereum,,,,,,,,2.4,2.4,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercury Protocol,GMT,Utility,Ended,10/24/2017,11/24/2017,"$10,000,000",,,,,,,,,,USA,,,1.9,2.2,74%,1,1,1,26%,1,1,,1,,,1,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merge,MERGE,Utility,Unknown,,,N/A,,,,,Ethereum,,,"3,000,000 EUR","9,000,000 EUR",Estonia,,,2.2,2.2,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metabase Network,META,Utility,Trading,9/4/2018,1/31/2019,N/A,,,,,,,,,,Hong Kong,,,4.3,3.8,54%,5,5,5,46%,2,5,5,5,,,5,,0.24,5,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaCert Protocol,META,Utility,Unknown,,,N/A,1 META = 0.012 USD,,,,Ethereum,,,"1,500,000 USD","10,000,000 USD",Malta,,"North Korea, China",3.3,3.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadium,META,Utility,Trading,9/17/2018,9/22/2018,"$8,000,000",,,,,,,,,,Cayman Islands,,"USA, China",4.5,4.5,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaHash,MHC,Utility,Unknown,,,N/A,1 MHC = 0.0391 USD,,,,Ethereum,"ETH, BTC",,"36,000,000 USD","36,000,000 USD",Russia,,None,4.3,4.6,14%,4.3,4.3,4.2,86%,18,4,5,5,,5,4,5,5,4,4,5,2,1,5,4,5,5,5,5,4,4,5,,2,,1,4,5,,5,,5,5,5,,5,,5,1,0.05,,5,,0.05,4,,,5,,,5,0.04,,4,,0.04,4,,,0.04,,,,0.03,,,,0.03,,,,0.03
Metal,MTL,Utility,Trading,6/9/2017,6/9/2017,N/A,,,,,,,,,,USA,,,2.4,2.3,95%,5,5,5,5%,1,5,,5,,,5,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaMorph.pro,METM,Utility,Ended,6/28/2018,6/8/2018,N/A,,,,,,,,,,Australia,,"USA, China",3.6,4.5,54%,3.5,1.5,2.5,46%,2,3,4,1,,,2,,0.24,3,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metatip,META,Utility,Trading,12/5/2017,8/1/2018,N/A,,,,,,,,,,USA,,,2,2.1,86%,3,1,1,14%,1,3,,1,,,1,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meterx,MTRX,Utility,Ended,5/4/2018,6/4/2018,N/A,,,,,,,,,,,,,2.6,2.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METOKEN,METO,Utility,Ended,8/23/2018,10/22/2018,N/A,,,,,,,,,,Cayman Islands,,,4.1,3.8,27%,4.3,4.2,4,73%,8,4,5,5,,5,4,3,5,3,5,,5,,4,4,5,,2,,0.09,4,,,5,,,1,0.08,,,,0.07,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metronome,MTN,Utility,Unknown,,,N/A,1 MTN = 0.0027815 ETH,,,,Ethereum,,,,"22,252 ETH",USA,,,3.6,2.7,37%,4.3,4.1,3.9,63%,6,3,5,4,,5,5,5,4,4,3,,4,,4,3,0.12,,5,,0.11,3,,,0.09,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metta,METTA,Utility,Ended,1/1/2018,2/1/2018,N/A,,,,,,,,,,,,,3,3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEvU,MVU,Utility,Unknown,,,N/A,1 MVU = 0.34 USD,Available,Available,,Ethereum,ETH,10 USD,"2,000,000 USD","15,300,000 USD",Canada,,"China, USA",4,4.1,24%,4.3,3.9,3.8,76%,11,5,3,5,,4,5,5,4,5,3,4,5,,4,4,5,,4,,4,4,4,,5,,,4,0.08,,3,,0.04,5,,,5,,,,0.07,,,,0.05,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,
MFChain,MFX,Utility,Ended,10/15/2018,12/15/2018,"$209,000",,,,,,,,,,Saint Kitts and Nevis,,USA,3.6,2.8,64%,5,5,5,36%,2,5,5,5,,,5,,0.25,5,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mfun,MFN,Utility,Ended,12/1/2018,12/31/2018,N/A,,,,,,,,,,Singapore,,"USA, Japan, China",2.6,2.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MFV,,Utility,Unknown,,,N/A,,,,,Ethereum,,,,,Canada,,,1.8,0.1,46%,2.5,3.8,3.7,54%,4,3,5,1,,1,5,,1,5,3,,2,,,2,0.09,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGLTOKEN,MGLT,Utility,Unknown,,,N/A,1 MGLT = 0.0001190476 ETH,,,,Ethereum,"ETH, BTC",,"30,000,000","80,000,000",Mongolia,,,2.4,2.4,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mHealthCoin,MHEC,Utility,37 days 19 hours left,9/13/2018,3/31/2019,N/A,1 MHEC = 0.01 USD,,,,Ethereum,"ETH, BTC",0.1 ETH,"4,000 ETH","25,000,000 USD",Hong Kong,,"China, USA",2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Crypto Exchange,MCEX,SecuritySTO,Ended,4/17/2018,10/17/2018,N/A,,,,,,,,,,USA,,,2.6,2.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIB,MIB,Utility,Ended,7/20/2018,10/18/2018,N/A,,,,,,,,,,Singapore,,"USA, China",2,3,38%,1.3,1.5,1.5,62%,6,1,1,1,,2,2,1,1,1,3,,2,,1,4,0.12,,1,,0.1,1,,,0.08,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiBoodle,MIBO,Utility,Ended,8/1/2018,1/22/2019,N/A,,,,,,,,,,UK,,USA,4.2,3.7,48%,5,4.6,4.3,52%,3,5,5,5,,,4,,5,4,,,5,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiCars,MCR,Utility,Trading,1/12/2018,2/13/2018,N/A,,,,,,,,,,France,,,2.7,2.6,82%,3,3,3,18%,1,3,,3,,,3,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MicroMoney,AMM,Utility,Trading,10/18/2017,11/18/2017,"$10,500,000",,,,,,,,,,Cambodia,,,3.8,3.2,28%,4.2,4,3.8,72%,20,5,2,5,,5,5,5,5,4,5,2,4,4,3,4,5,4,4,3,4,4,3,,4,,4,4,3,,5,,5,2,5,,4,,3,4,0.03,,2,,0.03,3,,,5,,,4,0.03,,4,,0.03,3,,,0.03,,,,0.03,,,,0.03,,,,0.02
Midas,MAS,Utility,Ended,7/1/2018,7/22/2018,"$8,245,440",,,,,,,,,,Singapore,,USA,3.7,3.7,55%,4,3.7,3.4,45%,3,3,5,5,,,4,,5,3,,,5,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midex,MDX,Utility,Ended,1/15/2018,4/15/2018,"$22,000,000",,,,,,,,,,Hong Kong,,,4.5,3.9,12%,4.8,4.6,4.5,88%,24,5,5,5,,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,,3,,5,5,5,,5,,1,5,5,,5,,5,4,0.05,,5,,0.02,5,,,3,,,5,0.04,,4,,0.02,4,,,0.02,,,,0.04,,,,0.04,,,,0.03
Mijn Vastgoed,MVT,Utility,Ended,6/1/2018,6/30/2018,N/A,,,,,,,,,,Netherlands,,,2.7,2.7,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILC,MILC,Utility,Ended,9/1/2018,11/23/2018,N/A,,,,,,,,,,Germany,,"USA, Canada, China, Vietnam, Iran",3.8,3.8,58%,4.2,3.9,3.3,42%,3,5,4,3,,,5,,2,4,,,1,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milcoin,MILC,SecuritySTO,14 days 17 hours left,1/22/2019,3/8/2019,N/A,1 MILC = 1000 USD,,,,Ethereum,"ETH, Fiat",1000 USD,,"9,000,000,000 USD",Bahamas,,USA,4.3,4.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MillionCoin,MON,Utility,Ended,2/18/2018,7/18/2018,N/A,1 MON = 0.000444 ETH,,Available,,Ethereum,"ETH, BTC, USD, EUR",,"1,000 ETH","20,000 ETH",Poland,,"USA, Canada, Korea, Singapore, China",3,3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMIC,MIMIC,Utility,Unknown,,,N/A,1 MIMIC = 0.05 USD,Available,,,Ethereum,ETH,200 USD,"1,000,000 USD","450,000,000",Switzerland,,"USA, China",3.8,3.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MimiCoin,MIM,Utility,Ended,12/29/2017,2/12/2018,N/A,,,,,,,,,,Croatia,,,3.3,3,41%,3.8,3.1,3.5,59%,5,3,4,4,,4,4,,3,4,1,,3,,,3,0.16,,4,,0.11,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiMiner,MIT Token,Utility,Ended,11/24/2018,12/25/2018,N/A,,,,,,,,,,Singapore,,"USA, Singapore, North Korea, Iran",2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,MIN,Utility,Trading,10/16/2018,11/14/2018,N/A,,,,,,,,,,Ireland,,"USA, China",3.3,3.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mind AI,OMAI,Utility,Unknown,,,N/A,1 OMAI = 0.00005 ETH,,,,Ethereum,"BTC, ETH",,"40,000 ETH","80,000 ETH",Liechtenstein,,"USA, China",2.7,2.7,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mindfire,MFT,Utility,Unknown,,,N/A,1 MFT = 0.05 CHF,,,,Ethereum,"ETH,BTC, Fiat",0.1 ETH,"50,000,000 USD","800,000,000 USD",Switzerland,,,2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MindLink,ML,Utility,Trading,2/10/2018,3/24/2018,"$1,021,970",,,,,,,,,,Sweden,,USA,3,3,74%,3,3,3,26%,1,3,,3,,,3,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mindol,MIN,Utility,Trading,6/10/2018,8/16/2018,N/A,,,,,,,,,,Japan,,,2,2,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MindSports,MIND,Utility,Ended,2/5/2018,3/6/2018,"$1,680,300",,,,,,,,,,Hong Kong,,"US, China",2.4,2,69%,3,3.5,3,31%,2,2,4,3,,,4,,0.16,4,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mindsync,MAI,Utility,Ended,12/15/2018,1/15/2019,N/A,1 MAI = 0.14 USD,Available,Available,,Ethereum,"ETH, BTC, LTC",100 USD,"4,200,000 USD","70,000,000 USD",UK,,,4.8,4.8,57%,5,4.6,4.6,43%,2,5,5,5,,,4,,0.26,4,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mine,MINE,Utility,Ended,5/27/2018,5/31/2018,N/A,,,,,,,,,,Philippines,,,2.7,2.7,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineberg,BERG,Utility,Ended,12/2/2018,1/30/2019,N/A,,,,,,,,,,UK,,None,2.6,2.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinedBlock,MBTX,SecuritySTO,22 days 15 hours left,2/15/2019,3/15/2019,N/A,1 MBTX = 0.15 USD,Available,Available,,Ethereum/Polymath,"BTC, POLY, ETH, Fiat",300 USD,"1,000,000 USD",,UK,,,4.2,4.5,87%,2,3,2,13%,1,2,,3,,,2,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
